predictor,ours,glm
(Intercept),111.72302052773229,90.96903647817396
radius_mean,-3646.823539744917,-2560.393890270345
texture_mean,-2.894919933303943,0.8812036847463623
perimeter_mean,1257.9481183394114,789.2724398226849
area_mean,2091.5001210851715,1539.834565032139
smoothness_mean,180.45913755742853,128.87622471552785
compactness_mean,-471.3749334211471,-346.6691873192378
concavity_mean,-0.3063034304244936,9.081008148926399
concave.points_mean,287.3555092197539,215.48080306684483
symmetry_mean,10.845978345856196,10.477259050384957
fractal_dimension_mean,-40.64134969095274,-28.691654862367034
radius_se,854.4290934319146,617.5687358136403
texture_se,-105.89207822469024,-79.97886385015717
perimeter_se,-1231.6514585496534,-917.3916527257692
area_se,789.0550143956852,628.6222312525874
smoothness_se,-83.34497295425624,-63.766036651557734
compactness_se,473.1970464560177,344.31801830881255
concavity_se,-440.6629325687686,-323.8533730243357
concave.points_se,503.37286921368354,374.7610874935321
symmetry_se,-144.45805582958482,-108.621179175589
fractal_dimension_se,-462.42425398804846,-339.1646359706454
radius_worst,338.04087676453355,197.9314738555454
texture_worst,211.28177797262393,155.07873387662647
perimeter_worst,1406.2984247368618,1068.1068807640775
area_worst,-851.7493135220316,-606.1657870186834
smoothness_worst,-42.117380493509586,-26.47594990774214
compactness_worst,-480.79091317524995,-346.4051823642597
concavity_worst,518.459522099016,373.20891800158864
concave.points_worst,-216.9414972143373,-161.617707359571
symmetry_worst,98.05013709038154,71.94885397103005
fractal_dimension_worst,384.8330524640878,282.82535120594315
